,id,Created at,Screen Name,Tweet Text
0,1321860390100201474,Thu Oct 29 17:04:10 +0000 2020,RealJamesWoods,"This smug little number saying her company, #Google, shouldn’t be broken up. Why? Because smaller companies won’t h… https://t.co/XCxmoS4YTc"
1,1321692442983366656,Thu Oct 29 05:56:48 +0000 2020,SethAbramson,As good an ad about Trump as I've seen. I hope you'll retweet it. https://t.co/G5e5L0HyRu
2,1321614388558745600,Thu Oct 29 00:46:39 +0000 2020,PeteButtigieg,"Trump's rallies are a metaphor for how he views his own supporters. Happy to have them cheer for him, only to leave… https://t.co/hKnjHluBUo"
3,1322010410174849025,Fri Oct 30 03:00:18 +0000 2020,bflyjesusgrl,RT @TeamTrump: WATCH: @IngrahamAngle on The GREAT Trump Recovery! https://t.co/j6P8aix12N
4,1322010410011316224,Fri Oct 30 03:00:18 +0000 2020,um_cloudy,"@censors68769010 Chris Balding, donald trump, martin aspen trump junior does cocaine"
5,1322010409268846592,Fri Oct 30 03:00:17 +0000 2020,mkb_burke,@WalshFreedom @lauferlaw 100 million + registered voters did not vote in 2016. I suspect that there were very few T… https://t.co/kWng3H4slj
6,1322010408752992257,Fri Oct 30 03:00:17 +0000 2020,danwetter,@Capperjohn5807 This could be the dumbest statement ever.  Biden’s plan is the exact same as Trump’s.  I think you… https://t.co/12PvDRUXCK
7,1322010408690110464,Fri Oct 30 03:00:17 +0000 2020,DarlaSansbury,RT @AriFleischer: “My choice in the 2020 general election is between a personally offensive outsider who signs good policies into law and a…
8,1322010408690081792,Fri Oct 30 03:00:17 +0000 2020,iFightWithTools,"RT @duty2warn: Remember the Seinfeld episode when George stopped having sex and got super smart? After Trump is gone, many people will have…"
9,1322010408413265920,Fri Oct 30 03:00:17 +0000 2020,Andy87534592,"RT @mmpadellan: We have 14 hours.

14 hours to launch a MASSIVE $100K ad blitz on Seniors in FL and PA, aided by matching donors. We need $…"
10,1322010408253837313,Fri Oct 30 03:00:17 +0000 2020,Patrici66871642,@GOPLeader @realDonaldTrump We need stimulus checks.President Trump needs to do a Executive Order for Stimulus Checks now.
11,1322010408052350976,Fri Oct 30 03:00:17 +0000 2020,jewels4evr1,"RT @jheil: Will @redistrict get it right in 2020 like he did in 2016? Back then, he glimpsed a Trump triumph coming when most others scoffe…"
12,1322010408027213825,Fri Oct 30 03:00:17 +0000 2020,wizardfish22,@basketballtalk KAT is campaigning for Biden? Looks like Trump has 4 more years in the books.
13,1322010407888891906,Fri Oct 30 03:00:17 +0000 2020,jsaau85,"For all you Christians out there who cling to Trump, I’m curious how you rationalize @realDonaldTrump ‘s constant l… https://t.co/AoO736vXWs"
14,1322010407666593794,Fri Oct 30 03:00:17 +0000 2020,dmetcalfe16,@iammuslim_ @BillSpadea @PhilMurphyNJ Trump didn’t say anything either. This government and all politicians are not doing what they should.
15,1322010407435870210,Fri Oct 30 03:00:17 +0000 2020,icashootnstar,"RT @CheriJacobus: If Roger Stone had gone to prison after Watergate (which he should have) would we have avoided Trump as POTUS?

This is w…"
16,1322010407272407040,Fri Oct 30 03:00:17 +0000 2020,DeucePapi22,RT @NicAtNigh: Lil Wayne jumping on Twitter to endorse Trump is a strong indication that the dam has broken. You can bet he isn't alone.
17,1322010407230337025,Fri Oct 30 03:00:17 +0000 2020,see_venice,"RT @NewYorker: “In many ways, the whole Trump Presidency can be encapsulated in the past few days and weeks,” @sbg1 writes. “It is narcissi…"
18,1322010407134003201,Fri Oct 30 03:00:17 +0000 2020,amsterdamred,RT @CREWcrew: Shouldn't this be a pretty big scandal right now? https://t.co/jkNyUPiH87
19,1322010407066832896,Fri Oct 30 03:00:17 +0000 2020,hmedney,"RT @Amy_Siskind: I know nothing should surprise me anymore, but Trump and GOP lawmakers trying to steal Pennsylvania in the light of day st…"
20,1322010406844551169,Fri Oct 30 03:00:17 +0000 2020,RichardLefebvr8,@pipeguy60 @jacktodd46 Nothing to gain? How about millions from Trump !!
21,1322010406840389633,Fri Oct 30 03:00:17 +0000 2020,rickbflony,"RT @Strandjunker: Donald Trump taking credit for President Obama’s economy is like a guy inheriting a fortune from his dad, then bragging a…"
22,1322010406827692035,Fri Oct 30 03:00:17 +0000 2020,aderralandrew2,@MeliMels99 Not even 1/2 the jobs lost bc of Donald Trump's fucked up pandemic response have returned&amp;many won't! W… https://t.co/t5KUsDZuwN
23,1322010406462713858,Fri Oct 30 03:00:17 +0000 2020,OCBizarro,RT @JackPosobiec: BREAKING: Philadelphia firefighters union votes to endorse of President Trump https://t.co/dnBmgM0BJT
24,1322010406207016961,Fri Oct 30 03:00:17 +0000 2020,hpbridges94,"@groth1945 @gbroh10 As I told my daughter tonight ... “sweet dreams ... of a Trump Landslide Victory in 5 days!” 
🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸"
25,1322010406106386434,Fri Oct 30 03:00:17 +0000 2020,alfrodou,"RT @SaraGideon: Senator Collins was asked *three times* last night if she supports Donald Trump's reelection, and she refused to answer eac…"
26,1322010405951078400,Fri Oct 30 03:00:17 +0000 2020,Salt_Szn,"Republicans in 2000: We need to prevent all this hippity hop music from corrupting our children! 

Republicans in 2… https://t.co/HOL5xuV50P"
27,1322010405888208898,Fri Oct 30 03:00:17 +0000 2020,TNewsanimal,"RT @DeanObeidallah: In GOP controlled Butler county in Penn, ballots requested by Dem voters didn't show up. GOP voting board blamed Post o…"
28,1322010405884076038,Fri Oct 30 03:00:17 +0000 2020,ibisflight,RT @ddale8: Trump repeats his completely imaginary story about how he pressured Shinzo Abe into getting five major Japanese auto companies…
29,1322010405770825728,Fri Oct 30 03:00:17 +0000 2020,TheBigDS3,"RT @AliVelshi: BREAKING: New @QuinnipiacPoll.

FL:  Biden 45%, Trump 42%
IA:   Biden 46%, Trump 47%
PA:  Biden 51%, Trump 44% 
OH: Biden 48…"
30,1322010405514874880,Fri Oct 30 03:00:17 +0000 2020,NewsSiphon,RT @BMeiselas: While Trump lies and says the economy is doing well as millions suffer I ask you to take a look at everyone sharing their st…
31,1322010405502246912,Fri Oct 30 03:00:17 +0000 2020,KanePaticia,@TrumpWarRoom @TeamTrump Yes we will help our police officers and military officers!! The Democrats are doing thing… https://t.co/yOyPK9pFbh
32,1322010405460451329,Fri Oct 30 03:00:17 +0000 2020,astroviks,remember when trump got elected and people started sending bomb threats to synagogues and jcc's. does anyone remember that
33,1322010405359788033,Fri Oct 30 03:00:17 +0000 2020,Davelyrics,"Denialism, Dishonesty, Deflection: The Final Days of the Trump Campaign Have It All https://t.co/z5oo70HQgP"
34,1322010405288501251,Fri Oct 30 03:00:17 +0000 2020,_grasyn_,"RT @adriel_terrazas: TRUMP &amp; BIDEN ARE TIED IN TEXAS 
GUYS TEXAS CAN TURN BLUE IF WE JUST VOTE!!!! PLEASE VOTE!"
35,1322010405233897474,Fri Oct 30 03:00:17 +0000 2020,SharonSharonh10,RT @grandmagrit: Women are voting for Biden by 24% margin over Trump. From charges of sexual assault to taking children from their parents…
36,1322010405183594496,Fri Oct 30 03:00:17 +0000 2020,kathydalton39,"At least Jim Jones gave kool-aid. 
Trump didn't give nothing. 🤣 https://t.co/Pm4IVM4sls"
38,1322010405078749185,Fri Oct 30 03:00:16 +0000 2020,meyeka54,"RT @RVAT2020: The RVAT Closing Ad

Countless Republicans are putting country over party &amp; voting for the candidate of character – @JoeBiden…"
39,1322010405074423808,Fri Oct 30 03:00:16 +0000 2020,TmooreCrypto,@xenoblad @msorde21 @kristal100 @EvonneYChen @50cent @chelseahandler @jimmyfallon Why didn't Obama do prison reform… https://t.co/CuqyJRsY6F
40,1322010404923596800,Fri Oct 30 03:00:16 +0000 2020,Freddyk24,@johncusack Your a wack job John Cusack. All your talking points are right out of the Lefty socialist handbook. Do… https://t.co/8hPv0PwhR8
41,1322010404839661570,Fri Oct 30 03:00:16 +0000 2020,VDisobedience,"Biden: ‘We can’t afford four more years of Donald Trump’ https://t.co/TIGh7kDE50

No, we cannot afford another 4 ye… https://t.co/aFcmUgkQqo"
42,1322010404806078464,Fri Oct 30 03:00:16 +0000 2020,boatroad,@realDonaldTrump Our economy is deeply troubled even with this natural rebound from pandemic closures. Millions of… https://t.co/GBCpYHtL2E
43,1322010404684468226,Fri Oct 30 03:00:16 +0000 2020,Fredpat86883820,"@DavidShafer @AngelWarrior321 I have a little sign on my Trump flag pole. It says ""If you can read this, you're in range""."
44,1322010404399304704,Fri Oct 30 03:00:16 +0000 2020,Bronsays,"RT @Bronsays: Trump pushed for Barrett confirmation ""so she could help him win"" election, Senator Chris Coons says https://t.co/OcKe1kCCHm…"
45,1322010404390883334,Fri Oct 30 03:00:16 +0000 2020,EvanGrip,RT @AdamSerwer: Fun to think about how we learned today that Trump and Barr did with Turkey the exact thing Trump and his fans are falsely…
47,1322010404130820096,Fri Oct 30 03:00:16 +0000 2020,LFidei,"RT @LifeNewsHQ: Ivanka Trump: Parenthood Changed My Mind on Abortion, Now I’m “Unapologetically Pro-Life” https://t.co/qsU98TPmfx https://t…"
48,1322010404097265664,Fri Oct 30 03:00:16 +0000 2020,blancheliston,"RT @BillKristol: “This is why we, two Orthodox American-Israelis and former IDF soldiers who care deeply about Israel’s safety, will be vot…"
49,1322010403958788096,Fri Oct 30 03:00:16 +0000 2020,rivetingbonmots,Trump and Rudy give bad interviews https://t.co/xv0BwhSx0x via @YouTube
50,1322010403921104896,Fri Oct 30 03:00:16 +0000 2020,baboosweetp,"RT @OperativeXRay: @TheRickWilson Wait, hold up - so the Hunter Biden-China fake connection was made up by a fake firm (Typhoon Investigati…"
51,1322010403807911944,Fri Oct 30 03:00:16 +0000 2020,BenSemisch,"@birbigs 13 people in Florida. 30 people in Omaha.

What’s the total count on Trump hospitalizations for his Rallie… https://t.co/Y8QOmjhogV"
52,1322010403703050240,Fri Oct 30 03:00:16 +0000 2020,julianpalacio30,"RT @rayray808s: Conservatives: Hip Hop is trash music!

Lil Wayne: I’m voting for Donald Trump

Conservatives: https://t.co/wmDfXPmhjt"
53,1322010403648557056,Fri Oct 30 03:00:16 +0000 2020,CheoGarciaVivas,@JoeBiden @PABLO_NRG Trump President!!!!
54,1322010403644317697,Fri Oct 30 03:00:16 +0000 2020,MarieManila1,End Trump stressing! https://t.co/klyrn8ISMj
55,1322010403539427329,Fri Oct 30 03:00:16 +0000 2020,WhineNot,RT @charliekirk11: The FBI was investigating Hunter Biden's overseas business deals in December 2019 while Donald Trump was being impeached…
56,1322010403489107971,Fri Oct 30 03:00:16 +0000 2020,OfficeGuy17,RT @GayOlePatriot: Liberals will tell gays to fear Donald Trump but Islam is fine... #logical
57,1322010403136630785,Fri Oct 30 03:00:16 +0000 2020,George56749182,RT @seanhannity: CUOMO: Trump is ‘Responsible for Every Death in This Country’ from Global CoVID Pandemic https://t.co/bh0hVM0X3Z
58,1322010403103100928,Fri Oct 30 03:00:16 +0000 2020,USCFaninNC,"RT @realDonaldTrump: Thank you to Dave Rubin, author of “Don’t Burn This Book”, just announced on @foxandfriends that he is voting for your…"
59,1322010403048706050,Fri Oct 30 03:00:16 +0000 2020,Sanitaryfusion,RT @DanODonnellShow: BREAKING: Joe Biden will hold a rally at Mitchell International Airport in Milwaukee tomorrow less than a week after t…
60,1322010402985779201,Fri Oct 30 03:00:16 +0000 2020,yoyobeatty,"RT @saletan: Birx has abandoned the White House and Trump, who has essentially replaced his epidemiological and public health experts with…"
61,1322010402893430786,Fri Oct 30 03:00:16 +0000 2020,Kbentz_10,@LaToyaLovely92 @talklibertynow @tweeting_keith @LilTunechi But Trump doesn’t act like he’s nice people. The left i… https://t.co/oKBwyKoe1g
62,1322010402641846273,Fri Oct 30 03:00:16 +0000 2020,Tre_Potts,RT @kiandre_23: Trump media just finding out bout Wayne for the first time tonight
63,1322010402549542913,Fri Oct 30 03:00:16 +0000 2020,DebraLi60915721,RT @RussOnPolitics: @Acyn Reality: 1000 Americans died of coronavirus yesterday. I doubt that their grieving family members consider that t…
64,1322010402507599873,Fri Oct 30 03:00:16 +0000 2020,solivitaguy,RT @jaketapper: Denver Post: Trump administration lifts endangered species protection for wolves https://t.co/n9qDct0lfC
65,1322010402427817984,Fri Oct 30 03:00:16 +0000 2020,natalienicolle_,"RT @LyonnaLyu: HELLOOO. WE SAID A BLACK MAN WAS **LYNCHED** IN SACRAMENTO, THE CAPITOL OF “LIBERAL” BLUE CA! There were multiple white supr…"
66,1322010402335694850,Fri Oct 30 03:00:16 +0000 2020,Kamiphenonymous,"RT @thehill: JUST IN: Harris to travel to Texas Friday after polls show tie between Trump, Biden https://t.co/LMtD4NPfQj https://t.co/SfzdQ…"
67,1322010402289524742,Fri Oct 30 03:00:16 +0000 2020,Texas78703,"RT @CollierForTexas: Says the guy who defunded Texas public education, wanted to regulate bathrooms, and is okay with millions of grandpare…"
68,1322010402255966210,Fri Oct 30 03:00:16 +0000 2020,SharpshooterTom,"@davidwb @vancekelley @brhodes ""The ghost of Trumpism"" wont be a thing, people said the same about Nixon and Bush a… https://t.co/PviKjSi38N"
69,1322010402046226432,Fri Oct 30 03:00:16 +0000 2020,munn_dayle,"RT @CREWcrew: You'll never guess what happened after we called out Ivanka Trump for violating federal law 8 times in 48 hours....

She brok…"
70,1322010401844985857,Fri Oct 30 03:00:16 +0000 2020,barbara_quinn,"RT @NintraAa: If Trump gets reelected, I will be buying a house within the next 4 years. #fact
Black folks, you’d be DUMB not to take advan…"
71,1322010401844899840,Fri Oct 30 03:00:16 +0000 2020,Le_Roi_Est_Mort,@wooopigsoooie84 @dialogician @kylegriffin1 This is deliberate. Initially the story wasn't covered. Then it was Rus… https://t.co/6JTSo5Ub7Y
72,1322010401740083200,Fri Oct 30 03:00:16 +0000 2020,one4allmankind,RT @DesignationSix: Vote Biden to get the kids out of the cages and to put Trump &amp; his kids in one.
73,1322010401652023303,Fri Oct 30 03:00:16 +0000 2020,AngelWarrior321,"RT @WraithCustoms: Today's Gun of the Day

Today we have the Foxtrot Mike FM9 AR Pistol. Chambered in 9mm w/ a 7"" barrel, custom milled rec…"
74,1322010401542864898,Fri Oct 30 03:00:16 +0000 2020,AmericansDeser2,"RT @Tooltimetim5: @JoeBiden As A Economist I Warn All Of You Donald Trump Does Not Understand The Economy, 33% Recovery Of a 32% Overall LO…"
75,1322010401480101888,Fri Oct 30 03:00:16 +0000 2020,PacoRod38874793,"RT @CNN: First lady Melania Trump pitched President Trump as a tireless warrior for health care at a rally on Thursday, claiming that healt…"
76,1322010401375055874,Fri Oct 30 03:00:16 +0000 2020,kathleenalexiss,RT @RudyMarquezJr: This is a prime example of the ignorance and delusion embedded within Trump supporters. Once they realized she was talki…
77,1322010401320689665,Fri Oct 30 03:00:16 +0000 2020,Abel_Cutillas,RT @MacaesBruno: “There are many reporters out there — most of them quite personally hostile to Donald Trump — who are grating under what t…
78,1322010401165500418,Fri Oct 30 03:00:16 +0000 2020,shannon_sense,@marviGasss Biden camp is looking for all types of notable Black endorsements. Of course. He needs the black vote t… https://t.co/Y5RQkgRxEU
79,1322010400926404609,Fri Oct 30 03:00:16 +0000 2020,Northsuburban1,@Kasparov63 Vote for Trump.
80,1322010400825708544,Fri Oct 30 03:00:15 +0000 2020,CuppsLynell,"RT @ddale8: Trump says of this deadly disease for which he received exceptional treatment: ""You know the bottom line, though? You're gonna…"
81,1322010400767049729,Fri Oct 30 03:00:15 +0000 2020,thenance22,"RT @JohnWDean: Trump is going to try to make his re-election his final giant con, losing the election but keeping the presidency. Massive l…"
82,1322010400750260224,Fri Oct 30 03:00:15 +0000 2020,ErnestNepa,RT @RealJamesWoods: President Trump... #ButThePolls https://t.co/foVmuk3kat
83,1322010400674643968,Fri Oct 30 03:00:15 +0000 2020,Trident__,"@AdminWatchdog @joefalck @HillaryClinton ""the election being stolen from her""

trump won 30 states
hillary won 20 s… https://t.co/AybszcTPMr"
84,1322010400590802949,Fri Oct 30 03:00:15 +0000 2020,NotesFromNasty,"RT @fawfulfan: I just realized why the name of the judge who ordered Minnesota to set aside mail-in ballots sounded so familiar.

He's a Tr…"
86,1322010400574087171,Fri Oct 30 03:00:15 +0000 2020,FrankShepardInc,"I wish Trump was just a bigoted president. But he is much much worse, he is a Fascist. Full stop, he will be the end to American Democracy."
87,1322010400389500928,Fri Oct 30 03:00:15 +0000 2020,false_trump,"Pocahontas wanted V.P. slot so badly needed! Was 18,000 that I couldn't handle the complexities and danger of ISIS-… https://t.co/RXkqeTX23H"
88,1322010400364335104,Fri Oct 30 03:00:15 +0000 2020,stefenenick,the hope that biden will win is being totally drowned out by the panic over what trump is going to do AFTER the election.
